Category	Acanthamunnopsis1	Acanthamunnopsis2	Acanthamunnopsis3	Acanthamunnopsis4	Cyclothone1	Cyclothone2	Cyclothone3	Cyclothone4	Euphausia1	Euphausia2	Euphausia3	Euphausia4	Munneurycope1	Munneurycope2	Munneurycope3	Stenobrachius1	Stenobrachius2	Stenobrachius3	Stenobrachius4	Poeobius1	Poeobius3	Poeobius4	Poeobius5	Poeobius6	Eusergestes1	Eusergestes2	Eusergestes3	Eusergestes4	Tomopteris1	Tomopteris2	Vampyroteuthis1	Vampyroteuthis2
"Glycolysis / Gluconeogenesis"	5262	4650	1757	1550	2574	2561	2509	3264	3020	1238	2054	2947	4034	2647	1757	3335	5527	4582	4903	5874	5655	2052	2051	2421	5070	4851	2235	4819	2637	1874	1632	1881
"Pyruvate Metabolism"	8741	6764	2573	2233	2952	2943	3176	3915	3561	1591	2508	3587	5458	3359	2137	4507	7732	6046	6820	6926	6777	2853	3130	3429	6502	6021	2655	6025	4113	2193	2536	2820
"Glyoxylate and Dicarboxylate Metabolism"	8468	6428	2751	2251	1792	1786	1972	2564	2142	858	1574	1997	3514	1538	1538	3018	6071	4117	4579	3522	3676	2211	3139	3759	4863	4520	2115	4141	4003	2105	2368	2544
"Sugar Fermentation"	5827	4788	1943	1702	1776	1761	1919	2517	2154	931	1550	2075	3918	1945	1488	2907	5012	3956	4559	3705	3609	1890	2187	2382	4491	4054	1743	3883	2843	1654	1820	1894
"Butanoate Metabolism"	6776	4981	1843	1549	1320	1368	1489	1839	1905	855	1378	1915	2880	1738	1131	2403	4589	3209	3570	4168	4032	2043	2275	2682	3744	3553	1617	3538	3243	1715	1744	2060
"Propanoate Metabolism"	4826	4050	1512	1302	1512	1441	1542	2003	1775	774	1209	1675	2986	1511	1111	2299	4080	3115	3472	3494	3351	1587	1705	2034	3518	3183	1449	3069	2166	1382	1412	1418
"Citrate Cycle"	4349	3650	1376	1228	1948	1803	1904	2646	1997	898	1409	2023	3018	1862	1161	2440	4229	3373	3771	4435	4372	1620	1616	1902	3670	3516	1629	3543	2132	1315	1352	1304
"Pentose Phosphate Pathway"	3348	2788	1235	1135	1678	1728	1859	2270	1821	779	1258	1759	2492	1472	1066	2249	3703	3052	3551	3093	3152	1245	1273	1470	3068	3012	1449	2820	1585	1233	1188	1190
"Inositol Phosphate Metabolism"	866	658	301	279	347	368	450	527	342	161	224	302	408	259	209	481	876	640	916	616	656	285	339	327	589	579	324	434	464	279	240	250
"Long-Chain Alkane Degradation"	348	215	88	67	32	35	35	52	127	30	77	101	110	50	117	59	130	66	108	111	99	57	86	96	180	99	54	172	132	64	116	141
"Chloroalkane and -alkene Degradation"	1018	793	361	224	277	263	276	372	493	209	352	450	474	433	310	498	816	605	656	880	870	264	354	372	804	650	282	735	462	258	284	498
"Limonene and Pinene Degradation"	824	955	251	201	49	53	49	78	145	49	98	137	380	74	169	134	464	210	213	219	179	162	211	402	375	276	153	300	476	391	200	306
"Geraniol Degradation"	999	1041	353	246	44	45	54	79	88	38	68	92	412	55	136	187	720	281	280	254	183	216	313	426	441	409	186	326	540	315	272	290
"Ketone Degradation"	0	92	46	0	18	23	24	28	40	4	34	19	12	26	42	32	59	45	34	25	26	21	12	12	80	53	9	48	15	9	8	3
"Caprolactam Degradation"	688	953	265	184	44	49	65	83	54	35	48	78	284	34	84	131	465	202	219	166	151	138	221	411	305	279	156	233	458	417	156	270
"Plastic Degradation"	10	95	15	0	60	32	14	58	1	0	21	1	26	2	3	22	29	30	4	1	10	39	8	15	16	18	6	3	37	10	16	3
"Dioxin Degradation"	457	476	171	105	13	20	16	35	46	18	43	68	44	43	41	88	444	141	148	58	38	60	118	162	238	164	75	203	141	23	64	128
"Various Aromatic Compound Degradation"	788	711	379	279	507	529	586	644	750	350	478	734	574	757	287	736	1288	968	1013	1695	1663	414	386	324	955	973	366	1158	437	337	256	357
"Aromatic Hydrocarbon Degradation"	2290	2685	1063	707	113	136	141	280	328	110	299	354	536	193	298	570	2086	746	881	543	416	423	826	1083	1428	1062	522	1107	961	508	552	1118
"Benzoate and Derivative Degradation"	5381	5793	1988	1365	191	237	285	443	724	239	595	868	1096	626	637	814	3753	1299	1305	1217	1125	1098	1705	2262	2194	1575	939	1887	2500	1162	1200	2177
"Chlorocyclohexane and Chlorobenzene Degradation"	883	739	298	127	47	37	35	74	61	20	61	73	34	39	65	104	540	124	164	101	92	156	289	357	255	179	123	222	328	98	156	322
"Other Aromatic Compound Metabolism"	168	206	67	75	7	12	15	21	44	10	26	26	2	25	55	58	120	78	66	91	35	33	123	108	136	146	63	142	86	60	8	174
"Methanogenesis"	1461	1218	623	443	1811	2308	2595	1617	4452	1958	2447	4189	2986	4969	1175	2817	4951	4264	4052	11915	11219	2115	849	678	4451	4805	1701	7135	734	240	388	388
"Methane Oxidation"	0	0	0	0	0	0	0	15	11	5	28	0	22	28	0	60	57	134	71	0	0	0	0	0	68	65	42	93	0	0	0	6
"Methanol and Methylamine Oxidation"	399	311	89	146	27	21	31	40	64	26	74	68	118	44	64	155	289	246	190	105	88	66	81	198	291	252	102	243	134	96	92	151
"Formaldehyde Assimilation"	1380	1088	492	426	769	766	841	1039	772	368	557	738	1094	677	421	995	1560	1358	1601	1422	1473	513	671	660	1334	1311	528	1178	663	444	448	426
"Carboxydotrophy"	110	157	76	24	59	78	93	54	171	68	104	157	122	187	74	112	165	152	125	357	314	75	150	120	201	188	96	342	111	87	0	339
"Other Carbon Metabolism"	923	579	248	194	183	208	238	306	231	104	164	210	434	160	143	397	620	534	645	257	257	243	280	288	618	535	213	507	356	221	284	185
"Protein Degradation"	5748	5012	1863	1740	2729	2645	2829	3800	3250	1307	2105	2827	4786	2294	2029	4073	6597	5502	6214	4720	4546	1815	2180	2532	6340	6015	2469	5359	2714	2295	1952	1783
"Amino Acid Metabolism"	43343	38232	14274	13321	13204	13515	14476	18299	17153	7056	11506	15935	27494	13032	10229	21584	40335	29448	31770	30003	29474	14118	15658	18885	32273	29873	13779	29139	20791	12744	14028	13798
