ASV	Acanthamunnopsis3	Cyclothone1	Cyclothone2	Cyclothone3	Cyclothone4	Euphausia1	Euphausia2	Euphausia3	Euphausia4	Stenobrachius1	Stenobrachius2	Stenobrachius3	Stenobrachius4	Poeobius1	Poeobius3	Eusergestes1	Eusergestes2	Eusergestes4
Zotu1510	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0
Zotu688	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0
Zotu1345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu418	0	101	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0
Zotu953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
Zotu1741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu239	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	263	0
Zotu2392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1041	32	20	0	0	0	0	30	274	4	0	0	0	0	0	0	0	0	0
Zotu1405	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2130	0	0	0	0	0	9	8	0	0	0	0	0	0	0	0	0	0	0
Zotu192	0	279	0	0	0	1	6	141	0	0	0	0	11	0	0	0	0	0
Zotu574	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	1	90	0
Zotu814	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	23
Zotu111	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1095	0
Zotu1201	0	0	0	0	0	0	0	54	2	0	0	0	0	0	0	0	0	0
Zotu135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	518	208
Zotu1646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
